symbol,strategy,return,buy_hold,max_dd,sharpe,trades,win_rate
SOL-USD,EMA Momentum,44.82,-46.17,-18.33,0.9,5,60.0
BNB-USD,Triple EMA,42.21,29.81,-25.77,0.74,6,33.33
ETH-USD,SMA Crossover,46.95,17.47,-33.82,0.65,6,33.33
BNB-USD,SMA Crossover,28.49,46.81,-24.29,0.55,5,40.0
SOL-USD,SMA Crossover,28.2,-31.64,-26.18,0.53,4,75.0
BNB-USD,MACD,20.94,29.81,-17.89,0.44,12,58.33
ETH-USD,Triple EMA,24.77,-5.37,-36.23,0.39,5,40.0
SOL-USD,Triple EMA,0.57,-27.26,-28.57,0.01,4,50.0
BNB-USD,EMA Momentum,-3.33,30.45,-16.06,-0.28,4,25.0
ETH-USD,MACD,-18.57,-5.37,-47.94,-0.43,15,13.33
ETH-USD,EMA Momentum,-8.65,-7.28,-31.04,-0.46,5,40.0
SOL-USD,MACD,-37.85,-27.26,-55.44,-1.03,15,33.33
